wave,rank,reference_name,legal_name,match_status,maticni_broj,activity_code,revenue_rsd,employees,category,identity_confidence,commercial_reason,next_research_action
A1_STRATEGIC,1,DOO BUDIM GRAD BUDILOVINA,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, PROMET I USLUGE BUDIM GRAD, BUDILOVINA",matched,06994857,1039,1398804000,59,"Voće, povrće i hladnjače",confirmed_by_company_id,"Veliki potvrđeni Infosys hladnjačarski račun; direktan AgriX process fit","Potvrditi aktuelno korišćenje Infosys-a, broj stanica, kooperanata i switching trigger"
A1_STRATEGIC,2,FRIGO -PAUN DOO POZEGA,"POLJOPRIVREDNO PREDUZEĆE FRIGO-PAUN DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU POŽEGA",matched,06353096,1039,881724000,31,"Voće, povrće i hladnjače",high_confidence_name_location,"Veliki voćarski račun u jakom Požega klasteru","Potvrditi aktuelni sistem, lokacije, kulture, stanice i vlasnika odluke"
A1_STRATEGIC,3,FRUCOM FOOD d.o.o. Arilje,"FRUCOM FOOD društvo sa ograničenom odgovornošću Arilje",matched,20991348,1039,775708000,66,"Voće, povrće i hladnjače",exact_core_name_location,"Veliki broj zaposlenih i direktan hladnjačarski fit u Arilju","Istražiti postojeći workflow, sezonski obim, integracije i razlog mogućeg replacement-a"
A1_STRATEGIC,4,AGRO-SUNCOKRET DOO UZICE,"TRGOVINSKO PREDUZEĆE AGRO-SUNCOKRET DOO, UŽICE",matched,20724064,1039,813105000,18,"Poljoprivreda i kooperative",exact_core_name_location,"Veliki prihod i potvrđen Infosys identitet; procesni fit zahteva proveru","Utvrditi da li koristi otkup, kooperaciju, stanice i koje Infosys module"
A2_DIRECT_FIT,5,FRIGOMIL DOO KOTRAZA,"DRUŠTVO ZA PROIZVODNJU I PROMET FRIGOMIL, DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU KOTRAŽA",matched,17394037,1039,83422000,8,"Voće, povrće i hladnjače",exact_core_name_location,"Direktan hladnjačarski fit i lokalni klaster, iako manji prihod","Proveriti broj stanica, kooperanata, sezonski obim i cenu trenutnog sistema"
A2_DIRECT_FIT,6,PPPUP MALINA PROIZVOD DOO,"PREDUZEĆE ZA PROIZVODNJU, PRERADU I USLUGE U POLJOPRIVREDI MALINA PROIZVOD DOO, KOSJERIĆ (VAROŠ)",matched,20141948,4631,18765000,1,"Voće, povrće i hladnjače",high_confidence_name_location,"Veoma direktan malinarski process fit i replacement relevance, ali mali finansijski proxy","Potvrditi operativni obim; ne prioritizovati samo prema prihodu"
B_ADJACENT_DAIRY,7,MLEKARA MORAVICA DOO ARILJE,"PREDUZEĆE ZA PROIZVODNJU, PROMET I USLUGE MORAVICA DOO, ARILJE",matched,07635826,1039,124165000,13,Mlekarstvo,high_confidence_deduplicated,"Potvrđena Infosys referenca, ali mlekarstvo zahteva product-scope discovery","Spojiti dva izvorna reda MORAVICA u jedan account i proveriti tok otkupa mleka bez obećanja product fit-a"
VERIFY_BEFORE_RANKING,8,MASTER FRUITS d.o.o. Beograd,"Privredno društvo MASTER FRUITS d.o.o. Beograd-Palilula",manual_review,21202266,1039,3286002000,117,"Voće, povrće i hladnjače",exact_name_location_conflict,"Potencijalno najveći domaći replacement račun u listi","Razjasniti odnos Milićevo Selo–Beograd, potvrditi pravni identitet i razlikovati od Srebrenica reference"
VERIFY_BEFORE_RANKING,9,MAGIC BERRY FRUITS D.O.O.,"MAGIC BERRY FRUITS D.O.O. PILATOVIĆI",manual_review,22022989,1039,211140000,2,"Voće, povrće i hladnjače",probable_unique_candidate,"Dobar prihod i direktan voćarski fit u Požega klasteru","Potvrditi matični broj i aktuelno korišćenje Infosys-a"
VERIFY_BEFORE_RANKING,10,PROBAR FRUIT DOO BEOGRAD,"Privredno društvo za trgovinu i usluge PROBAR FRUIT DOO BEOGRAD-PALILULA",manual_review,21185477,4631,31608000,2,"Voće, povrće i hladnjače",probable_unique_candidate,"Direktan fruit/trade fit, ali niži finansijski proxy","Potvrditi identitet, operativnu složenost i razlog za eventualnu promenu"
VERIFY_BEFORE_RANKING,11,RIVAMIL DOO ARILJE,"PREDUZEĆE ZA PROIZVODNJU, PROMET I USLUGE RIVAMIL DOO BOGOJEVIĆI",manual_review,17299158,1039,13996000,3,"Voće, povrće i hladnjače",probable_unique_candidate,"Direktan ariljski hladnjačarski fit; verovatno mali račun","Potvrditi identitet, broj stanica i da li je komercijalni trošak opravdan"
REGIONAL_SEPARATE,,"Master Fruits d.o.o. Srebrenica",,manual_review,,,,,"Voće, povrće i hladnjače",location_conflict_foreign_entity,"Regionalni signal, nije domaći APR target","Voditi kao zaseban BiH account; ne spajati sa MB 21202266 bez dokaza"
